"Match_Importance","Rank_Ruud","Rank_Opp","Log_Rank_Ruud","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Odd_Ruud","Odd_Opp","Odd_Pred","Odd_Acc","Win"
600,8,1,2.07944154167984,0,0,0,0,0,1,82.4113475177305,77.2413793103448,0,0,0.6,1,0.8,6.5,1.11,0,1,0
600,8,12,2.07944154167984,2.484906649788,0,0,0,0,1,56.6433566433566,42.8571428571429,100,0,0.4,0,0.6,1.57,2.37,1,1,1
600,8,5,2.07944154167984,1.6094379124341,0,0,0,0,1,60,58.0645161290323,0,1,0.6,0,0.4,2.5,1.5,0,0,1
1000,8,2,2.07944154167984,0.693147180559945,0,0,0,0,1,68.3257918552036,72.2222222222222,0,1,0.6,1,0.8,5.5,1.14,0,1,0
45,8,78,2.07944154167984,4.35670882668959,0,0,0,1,0,47.2727272727273,51.1111111111111,100,0,0.4,1,0.4,1.16,5,1,1,1
90,8,65,2.07944154167984,4.17438726989564,0,0,0,1,0,48.7179487179487,57.5757575757576,100,1,0.6,1,0.4,1.2,4.5,1,1,1
150,8,42,2.07944154167984,3.73766961828337,0,0,0,1,0,47.1774193548387,54.8387096774194,50,1,0.8,1,0.6,1.16,5,1,1,1
250,8,15,2.07944154167984,2.70805020110221,0,0,0,1,0,55.4307116104869,59.0909090909091,33.3333333333333,1,0.8,1,0.8,1.44,2.75,1,1,1
90,8,157,2.07944154167984,5.05624580534831,0,1,0,0,0,33.3333333333333,22.2222222222222,50,1,0.8,1,0.4,1.2,4.5,1,1,1
180,8,132,2.07944154167984,4.88280192258637,0,1,0,0,0,65.0602409638554,66.4429530201342,50,1,1,1,0.6,1.8,2,1,0,0
90,8,86,2.07944154167984,4.45434729625351,0,1,0,0,0,37.1428571428571,38.4615384615385,50,0,0.8,1,0.2,1.14,5.5,1,1,1
180,8,33,2.07944154167984,3.49650756146648,0,1,0,0,0,52.9411764705882,47.2727272727273,100,1,0.8,1,0.4,1.3,3.5,1,1,1
180,8,12,2.07944154167984,2.484906649788,0,1,0,0,0,58.8957055214724,60.5769230769231,100,1,0.8,1,0.8,1.57,2.37,1,1,1
360,8,4,2.07944154167984,1.38629436111989,0,1,0,0,0,68.4684684684685,70.2380952380952,0,1,0.8,1,0.8,3.5,1.3,0,0,1
600,8,103,2.07944154167984,4.63472898822964,0,1,0,0,0,54.5454545454545,60,50,1,0.8,1,0.8,1.14,5.5,1,1,1
1000,8,16,2.07944154167984,2.77258872223978,0,1,0,0,0,68.75,69.6969696969697,0,1,1,1,1,3.4,1.33,0,1,0
90,7,79,1.94591014905531,4.36944785246702,0,0,0,1,0,33.3333333333333,27.2727272727273,100,0,0.8,1,0.6,1.16,5,1,1,1
180,7,29,1.94591014905531,3.36729582998647,0,0,0,1,0,58.5746102449889,56.6666666666667,100,1,0.8,1,0.6,1.2,4.5,1,0,0
90,7,81,1.94591014905531,4.39444915467244,0,0,0,1,0,60.5263157894737,100,50,0,0.6,1,0.6,1.1,7,1,1,1
90,7,73,1.94591014905531,4.29045944114839,0,0,0,1,0,53.030303030303,36.3636363636364,50,1,0.6,1,0.6,1.16,5,1,1,1
180,7,19,1.94591014905531,2.94443897916644,0,0,0,1,0,59.1928251121076,63.5514018691589,66.6666666666667,1,0.6,1,0.6,1.3,3.5,1,0,0
45,7,46,1.94591014905531,3.8286413964891,0,0,0,1,0,60.8695652173913,76.9230769230769,50,0,0.6,1,0.8,1.2,4.5,1,1,1
90,7,40,1.94591014905531,3.68887945411394,0,0,0,1,0,57.5757575757576,62.5,0,1,0.6,1,0.6,1.28,3.75,1,0,0
90,7,77,1.94591014905531,4.34380542185368,0,0,0,1,0,41.5686274509804,47.9166666666667,100,0,0.6,1,0.4,1.12,6,1,0,0
90,10,32,2.30258509299405,3.46573590279973,0,0,0,1,0,60.5263157894737,69.2307692307692,0,0,0.4,1,0.8,1.44,2.75,1,1,1
180,10,38,2.30258509299405,3.63758615972639,0,0,0,1,0,67.6470588235294,40,50,1,0.4,1,0.4,1.22,4.33,1,1,1
360,10,16,2.30258509299405,2.77258872223978,0,0,0,1,0,54.4973544973545,55.5555555555556,100,1,0.6,1,0.8,1.4,3,1,1,1
600,10,1,2.30258509299405,0,0,0,0,1,0,82.1576763485477,81.4035087719298,0,1,0.6,1,0.8,4.5,1.2,0,1,0
45,8,67,2.07944154167984,4.20469261939097,0,0,0,1,0,45.679012345679,48.5207100591716,100,0,0.6,1,0.2,1.12,6,1,1,1
90,8,85,2.07944154167984,4.44265125649032,0,0,0,1,0,49.2753623188406,50,50,1,0.8,1,0.8,1.2,4.5,1,1,1
